name,part_url,price,configuration,wattage,frequency_response,color
Logitech X-230,https://pcpartpicker.com/product/6hkwrH/logitech-speakers-x230,,2.1,32,"40,20",
Creative Labs Sound BlasterX Katana,https://pcpartpicker.com/product/PKmxFT/creative-labs-sound-blasterx-katana-0w-21ch-speakers-51mf8245aa000,,2.1,,,
Logitech S-220,https://pcpartpicker.com/product/827CmG/logitech-s-220-17-w-21-channel-speakers-s-220,,2.1,17,"85,15",Black
Logitech Z337 w/BlueTooth,https://pcpartpicker.com/product/Cqx9TW/logitech-z337-wbluetooth-40w-21ch-speakers-980-001260,,2.1,40,,
Creative Labs Inspire T6300,https://pcpartpicker.com/product/GGyFf7/creative-labs-inspire-t6300-57w-51ch-speakers-51mf4115aa002,,5.1,57,"50,20",Black
Kanto YU2GT,https://pcpartpicker.com/product/8jCD4D/kanto-yu2gt-50w-2ch-speakers-yu2gt,,2,50,"80,20",Blue / Black
Edifier S880DB,https://pcpartpicker.com/product/DkF48d/edifier-s880db-20-w-2ch-speakers-s880db,,2,20,"55,20",White / Brown
KEF LSXGRN,https://pcpartpicker.com/product/RNCFf7/kef-lsxgrn-200-w-20-channel-speakers-lsxgrn,,2,200,"49,47",Green / Black
SteelSeries Arena 7 EU,https://pcpartpicker.com/product/3H88TW/steelseries-arena-7-eu-21-channel-speakers-61543,,2.1,,"35,20",Black
Logitech X-140,https://pcpartpicker.com/product/Jk2kcf/logitech-speakers-9702640403,,2,4,"80,18",
Harman Kardon SoundSticks III,https://pcpartpicker.com/product/Vj6BD3/harman-kardon-speakers-soundsticksiii,,2.1,40,"44,20",
KRK RP5 G2,https://pcpartpicker.com/product/cVjG3C/krk-speakers-rp5g2,,2,90,"52,20",
Edifier R19U,https://pcpartpicker.com/product/xntWGX/edifier-speakers-r19u,,2,4,"150,20",
Logitech X-530,https://pcpartpicker.com/product/m898TW/logitech-x-530-701w-51ch-speakers-x-530,,5.1,70.1,"40,20",
Vanatoo Transparent One Encore,https://pcpartpicker.com/product/8CXJ7P/vanatoo-transparent-one-encore-240-w-20-channel-speakers-t1e-black,,2,240,"48,20",Black
ADAM Audio A7X,https://pcpartpicker.com/product/cGKKHx/adam-audio-a7x-300-w-10-channel-speakers-a7x,,1,300,"42,50",Black
SteelSeries Arena 7 AU,https://pcpartpicker.com/product/F4BzK8/steelseries-arena-7-au-21-channel-speakers-61544,,2.1,,"35,20",Black
Kanto ORA,https://pcpartpicker.com/product/8NG2FT/kanto-ora-100-w-speakers-oramw,326.77,2,100,"70,22",White / Black
Mackie MR624,https://pcpartpicker.com/product/kjGxFT/mackie-mr624-0065w-1ch-speakers-2048420-00,249.99,1,65,"38,20",Black
Razer NOMMO PRO,https://pcpartpicker.com/product/cX66Mp/razer-nommo-pro-0-nw-21ch-speakers-rz05-02470100-r3u1,,2.1,,"35,20",Black
Genius 31730027102,https://pcpartpicker.com/product/8bmLrH/genius-speakers-31730027102,,2,30,"50,20",
Logitech Z130,https://pcpartpicker.com/product/s8phP6/logitech-speakers-980000417,,2,5,"140,18",
Logitech Z523,https://pcpartpicker.com/product/4GphP6/logitech-speakers-980000319,,2.1,40,"48,20",
M-Audio Studiophile AV30,https://pcpartpicker.com/product/Ck2kcf/m-audio-speaker-av30,,2,20,"90,20",
Logitech Z-2300,https://pcpartpicker.com/product/6y4NnQ/logitech-speakers-z2300,,2.1,200,,
Altec Lansing VS3030,https://pcpartpicker.com/product/kH98TW/altec-lansing-vs3030-0w-2ch-speakers-vs3030,,2,,,
Razer Nommo,https://pcpartpicker.com/product/r9848d/razer-nommo-0-nw-20-channel-speakers-rz05-02450100-r3g1,,2,,"50,20",Black
KEF LSXWH,https://pcpartpicker.com/product/7rFKHx/kef-lsxwh-200-w-20-channel-speakers-lsxwh,,2,200,"49,47",White / Black
Trust GXT 606 JAVV,https://pcpartpicker.com/product/R4TZxr/trust-gxt-606-javv-6-w-speakers-23379,,2,6,"160,20",Gray / Black
Onkyo GX-10DB,https://pcpartpicker.com/product/ksh2FT/onkyo-gx-10db-34-w-speakers-gx10dbbcuu,259,2,34,"20,20",Black
Fluance SX6-BK,https://pcpartpicker.com/product/Tjp323/fluance-speakers-sx6bk,149.99,2,100,"50,20",
Creative Labs Inspire T6160,https://pcpartpicker.com/product/VGphP6/creative-labs-speakers-51mf4105aa002,,5.1,50,"40,20",
Creative Labs A220,https://pcpartpicker.com/product/3gvRsY/creative-labs-speakers-51mf0400aa002,,2.1,9,"40,20",
Cyber Acoustics CA-2014WB,https://pcpartpicker.com/product/ky6BD3/cyber-acoustics-speakers-ca2014wb,,2,1.5,"85,18",
Genius SP-HF1800A,https://pcpartpicker.com/product/XN8Zxr/genius-speakers-31730936100,,2,50,"20,20",
Genius SW-G2.1,https://pcpartpicker.com/product/b6Gkcf/genius-speakers-31731016101,,2.1,70,"35,20",
KRK VXT 8,https://pcpartpicker.com/product/vvPfrH/krk-speakers-vxt8,,2,360,"37,22",
Behringer MS16,https://pcpartpicker.com/product/4y4NnQ/behringer-speakers-ms16,129,2,16,"80,20",
JBL LSR4328P/PAK,https://pcpartpicker.com/product/dbKhP6/jbl-speakers-lsr4328ppak,,2,140,"50,20",
Creative Labs A250,https://pcpartpicker.com/product/CL98TW/creative-labs-a250-9w-21ch-speakers-51mf0420aa002,,2.1,9,"40,20",
Microlab FC 330,https://pcpartpicker.com/product/H34NnQ/microlab-fc-330-64w-21ch-speakers-microlabfc330,,2.1,64,"35,20",
Genius SP-U115,https://pcpartpicker.com/product/rbtWGX/genius-sp-u115-0w-2ch-speakers-sp-u115,,2,,"200,18",
Swan Speakers M50W,https://pcpartpicker.com/product/ZyKcCJ/swan-speakers-m50w-114w-21ch-speakers-m50w,,2.1,114,"38,20",Brown / Black
Kanto YU2Bamboo,https://pcpartpicker.com/product/VDF48d/kanto-yu2bamboo-50w-2ch-speakers-yu2bamboo,,2,50,"80,20",Brown / Black
Kanto YU2GB,https://pcpartpicker.com/product/m397YJ/kanto-yu2gb-50w-2ch-speakers-yu2gb,246.99,2,50,"80,20",Black
JBL Pebbles,https://pcpartpicker.com/product/gWdxFT/jbl-pebbles-0w-2ch-speakers-jblpebblesblkam,,2,,"70,20",Black / Red
KEF LSXRED,https://pcpartpicker.com/product/9jFKHx/kef-lsxred-200-w-20-channel-speakers-lsxred,,2,200,"49,47",Red / Black
HiFiMAN X100,https://pcpartpicker.com/product/YKvqqs/hifiman-x100-11-w-21-channel-speakers-x100,,2.1,11,"20,20",Black
SteelSeries Arena 3 EU,https://pcpartpicker.com/product/qbCZxr/steelseries-arena-3-eu-speakers-61536,237.76,2,,"50,20",Black
Pioneer DM-50D-BT,https://pcpartpicker.com/product/xqBzK8/pioneer-dm-50d-bt-50-w-speakers-dm-50d-bt,,2,50,"60,20",Black
Vanatoo Transparent Zero Plus,https://pcpartpicker.com/product/cnyH99/vanatoo-transparent-zero-plus-96-w-speakers-t0pb,515.99,2,96,"52,20",Black
Kanto ORA,https://pcpartpicker.com/product/kMpD4D/kanto-ora-100-w-speakers-oraml,389.99,2,100,"70,22",Purple / Black
Kanto ORA,https://pcpartpicker.com/product/rFTFf7/kanto-ora-100-w-speakers-oramr,422.99,2,100,"70,22",Red / Black
M-Audio BX5 D3,https://pcpartpicker.com/product/BB448d/m-audio-bx5-d3-01w-1ch-speakers-bx5-d3,,1,100,"52,35",Black
Creative Labs T12,https://pcpartpicker.com/product/x2vRsY/creative-labs-speakers-51mf1650aa002,,2,18,"20,20",
Creative Labs A60,https://pcpartpicker.com/product/RYvRsY/creative-labs-speakers-51mf1635aa003,,2,4,"90,20",
Logitech Z553,https://pcpartpicker.com/product/xVxfrH/logitech-speakers-980000649,,2.1,40,"55,17",
Microlab SP-FC20BK,https://pcpartpicker.com/product/4mXfrH/microlab-speakers-spfc20bk,,2.1,40,"50,18",
Microlab SP-FC20WH,https://pcpartpicker.com/product/jKzv6h/microlab-speakers-spfc20wh,,2.1,40,"50,18",
Syba CL-SPK20097,https://pcpartpicker.com/product/22vRsY/syba-speakers-clspk20097,,2,6,"150,20",
Genius SW-G2.1 1250,https://pcpartpicker.com/product/xRrG3C/genius-speakers-31730980101,,2.1,38,"58,20",
Cyber Acoustics CA-3602,https://pcpartpicker.com/product/wZV48d/cyber-acoustics-speakers-ca3602,,2.1,30,"50,20",
Logitech LS11,https://pcpartpicker.com/product/PYvRsY/logitech-speakers-980000048,,2,3,"70,20",
Logitech LS21,https://pcpartpicker.com/product/vZV48d/logitech-speakers-980000058,,2.1,7,"40,20",
M-Audio BX8 D2,https://pcpartpicker.com/product/y7tCmG/m-audio-speaker-bx8d2,,2,260,"30,22",
M-Audio Studiophile AV40,https://pcpartpicker.com/product/c7tCmG/m-audio-speaker-av40,,2,40,"85,20",
KRK RP6 G2,https://pcpartpicker.com/product/sPPfrH/krk-speakers-rp6g2,,2,100,"48,20",
KRK VXT 6,https://pcpartpicker.com/product/JqGkcf/krk-speakers-vxt6,,2,180,"49,22",
Creative Labs T50,https://pcpartpicker.com/product/3ZRFf7/creative-labs-speakers-51mf1665aa001,,2,40,"50,20",
Mackie CR4,https://pcpartpicker.com/product/8PnG3C/mackie-speakers-cr4,,2,28,"60,20",
Audioengine A5+N,https://pcpartpicker.com/product/tRkwrH/audioengine-a5n-150-w-speakers-a5n,,2,150,"50,22",
Mackie MR5mk3,https://pcpartpicker.com/product/8k648d/mackie-speakers-mr5mk3,,2,100,"57,20",
M-Audio AV42,https://pcpartpicker.com/product/2L2rxr/m-audio-speakers-av42,200,2,40,"75,20",
Insignia NS-PCS20,https://pcpartpicker.com/product/Ktp323/insignia-speakers-nspcs20,,2,,,
Logitech Z150,https://pcpartpicker.com/product/pk4gXL/logitech-speakers-980000803,,2,,,
Audioengine A2+R,https://pcpartpicker.com/product/MzfmP6/audioengine-speakers-a2r,,2,60,"65,22",
Bose Companion 20,https://pcpartpicker.com/product/pm4gXL/bose-speakers-3295091300,,2,,,
HiVi M10,https://pcpartpicker.com/product/Nk98TW/hivi-m10-0w-21ch-speakers-m10,,2.1,,"100,20",
Creative Labs Sound BlasterX Kratos S3,https://pcpartpicker.com/product/TXQRsY/creative-labs-sound-blasterx-kratos-s3-0w-21ch-speakers-51mf0475aa001,,2.1,,,
Sony BSP10,https://pcpartpicker.com/product/ZrH48d/sony-bsp10-20w-1ch-speakers-1287-2374,,1,20,,
V7 SP2000-USB-1NC,https://pcpartpicker.com/product/N2RFf7/v7-sp2000-usb-1nc-1w-2ch-speakers-sp2000-usb-1nc,,2,1,,
Cyber Acoustics CA-2014RB-ML,https://pcpartpicker.com/product/8TnG3C/cyber-acoustics-ca-2014rb-ml-4w-2ch-speakers-ca-2014rb-ml,,2,4,,
Cyber Acoustics Curve Storm,https://pcpartpicker.com/product/GntWGX/cyber-acoustics-curve-storm-22w-21ch-speakers-ca-3350,,2.1,22,,
Yamaha HS7 W,https://pcpartpicker.com/product/Xt66Mp/yamaha-hs7-w-95w-1ch-speakers-hs7-w,349.99,1,95,"43,30",
Mackie MR524,https://pcpartpicker.com/product/x2kj4D/mackie-mr524-005w-1ch-speakers-2048400-00,231.99,1,50,"45,20",Black
M-Audio BX6 CARBON,https://pcpartpicker.com/product/YDMwrH/m-audio-bx6-carbon-100w-1ch-speakers-bx6-carbon,,1,100,"45,22",Black / Silver
Genius G2.1 2000,https://pcpartpicker.com/product/qhJtt6/genius-g21-2000-45w-21ch-speakers-g21-2000,,2.1,45,"25,20",Black / Blue
Edifier S2000 PRO,https://pcpartpicker.com/product/rpMTwP/edifier-s2000-pro-124-w-20-channel-speakers-s2000pro,,2,124,"48,20",Brown / Black
KEF LSXBLUE,https://pcpartpicker.com/product/3cpmP6/kef-lsxblue-200-w-20-channel-speakers-lsxblue,,2,200,"49,47",Blue / Black
Yamaha Yamaha NX-50 2.0 Speaker System - 14 W RMS - Black,https://pcpartpicker.com/product/vchmP6/yamaha-yamaha-nx-50-20-speaker-system-14-w-rms-black-14-w-20-channel-speakers-nx-50bl,,2,14,"55,20",Black
Mackie CR3-X,https://pcpartpicker.com/product/VVDQzy/mackie-cr3-x-50-w-speakers-2053023-00,,2,50,"80,20",White
SteelSeries Arena 3 UK,https://pcpartpicker.com/product/KhmNnQ/steelseries-arena-3-uk-speakers-61535,,2,,"50,20",Black
Trust Gemi,https://pcpartpicker.com/product/BfsV3C/trust-gemi-12-w-speakers-22978,,2,12,"20,20",Blue / Black
Trust Gemi,https://pcpartpicker.com/product/Tbn9TW/trust-gemi-12-w-speakers-22979,,2,12,"20,20",Red / Black
Kanto ORA,https://pcpartpicker.com/product/2ycBD3/kanto-ora-100-w-speakers-oramg,430.99,2,100,"70,22",Gray / Black
Mackie MR824,https://pcpartpicker.com/product/rmL48d/mackie-mr824-0085w-1ch-speakers-2048440-00,299.99,1,85,"35,20",Black
Micca PB42X,https://pcpartpicker.com/product/qbmmP6/micca-pb42x-30-w-20-channel-speakers-pb42x,129.99,2,30,"60,20",Black
Creative Labs Inspire T3130,https://pcpartpicker.com/product/QfXfrH/creative-labs-speakers-51mf0395aa002,,2.1,25,"40,20",
Cyber Acoustics CA3550RB,https://pcpartpicker.com/product/wFR48d/cyber-acoustics-speakers-ca3550rb,,2.1,68,"22,20",
Genius SP-HF800A,https://pcpartpicker.com/product/mmXfrH/genius-speakers-31730997101,,2,20,"80,20",
Cyber Acoustics CA3001WB,https://pcpartpicker.com/product/CvBv6h/cyber-acoustics-speakers-ca3001wb,,2.1,14,"38,18",
Gigabyte GP-S4600,https://pcpartpicker.com/product/fk2kcf/gigabyte-speakers-gps4600,,2,1,"230,20",
Genius SP-S110,https://pcpartpicker.com/product/WfXfrH/genius-speaker-31730615100,,2,1,"200,20",
Cyber Acoustics CA3001RB,https://pcpartpicker.com/product/DX4gXL/cyber-acoustics-speakers-ca3001rb,,2.1,14,"38,18",
Creative Labs GigaWorks T3,https://pcpartpicker.com/product/2r4gXL/creative-labs-speakers-51mf0365aa002,,2.1,80,"30,20",
Gear Head SP2000USLV,https://pcpartpicker.com/product/VZV48d/gear-head-speakers-sp2000uslv,,2,3,"200,20",
Gear Head SP2000URED,https://pcpartpicker.com/product/Zr4gXL/gear-head-speakers-sp2000ured,,2,3,"200,20",
Gear Head SP2000UBLU,https://pcpartpicker.com/product/TN8Zxr/gear-head-speakers-sp2000ublu,,2,3,"200,20",
Syba CL-SPK20115,https://pcpartpicker.com/product/bwLypg/syba-speakers-clspk20115,,2,6,"150,20",
Creative Labs Inspire S2,https://pcpartpicker.com/product/92vRsY/creative-labs-speakers-51mf0390aa003,,2.1,33,"40,20",
Cyber Acoustics CA-2002,https://pcpartpicker.com/product/yRrG3C/cyber-acoustics-speakers-ca2002,,2,6,"270,18",
Cyber Acoustics CA-2011WB,https://pcpartpicker.com/product/sBXfrH/cyber-acoustics-speakers-ca2011wb,,2,4,"220,20",
Cyber Acoustics CA-2012RB,https://pcpartpicker.com/product/cPw323/cyber-acoustics-speakers-ca2012rb,,2,1.5,"85,18",
Cyber Acoustics CA-2100WB,https://pcpartpicker.com/product/Xp7wrH/cyber-acoustics-speakers-ca2100wb,,2,5.8,"35,18",
Cyber Acoustics CA-5402,https://pcpartpicker.com/product/J2vRsY/cyber-acoustics-speaker-ca5402,,5.1,40,"70,20",
Logitech Z320,https://pcpartpicker.com/product/dFR48d/logitech-speakers-980000329,,2,10,"70,20",
M-Audio Studiophile AV20,https://pcpartpicker.com/product/DFR48d/m-audio-speaker-av20,,2,10,"120,20",
Harman Kardon SoundSticks Wireless,https://pcpartpicker.com/product/bnPfrH/harman-kardon-speakers-soundstickswireless,,2.1,40,"44,20",
Harman Kardon GLA-55,https://pcpartpicker.com/product/WnPfrH/harman-kardon-speakers-gla55,,2,112,"35,20",
Audioengine A2 (White),https://pcpartpicker.com/product/LqGkcf/audioengine-speakers-a2,,2,30,"65,22",
Audioengine A5,https://pcpartpicker.com/product/GtMFf7/audioengine-speakers-a5,,2,100,"50,22",
KRK RP8 G2,https://pcpartpicker.com/product/yZh9TW/krk-speakers-rp8g2,,2,140,"44,20",
KRK VXT4,https://pcpartpicker.com/product/XdBv6h/krk-speakers-vxt4,,2,90,"66,22",
Lenovo M1730,https://pcpartpicker.com/product/JvTmP6/lenovo-speakers-0b99246,,2.1,12,"20,20",
Creative Labs Inspire T3300,https://pcpartpicker.com/product/m3FXsY/creative-labs-speakers-51mf0415aa004,,2.1,27,"40,20",
Creative Labs T30,https://pcpartpicker.com/product/F8YWGX/creative-labs-speakers-51mf1655aa001,,2,14,"50,20",
Mackie MR6mk3,https://pcpartpicker.com/product/xmgPxr/mackie-speakers-mr6mk3,,2,130,"46,20",
Mackie MR8mk3,https://pcpartpicker.com/product/kn7CmG/mackie-speakers-mr8mk3,,2,170,"38,20",
M-Audio AV32,https://pcpartpicker.com/product/rCL7YJ/m-audio-speakers-av32,,2,20,"80,20",
Creative Labs Inspire T3100,https://pcpartpicker.com/product/HrDzK8/creative-labs-speakers-51mf0336aa000,,2.1,29,"40,20",
Avermedia GS315,https://pcpartpicker.com/product/nPX2FT/avermedia-speakers-gs315,,2.1,77,"35,20",
Creative Labs A550,https://pcpartpicker.com/product/N8rcCJ/creative-labs-speakers-51mf4120aa000,,5.1,,,
Rosewill SP-7260,https://pcpartpicker.com/product/Lt8H99/rosewill-sp-7260-0w-2ch-speakers-sp-7260,,2,,"60,20",
Creative Labs Sound BlasterX Kratos S5,https://pcpartpicker.com/product/ZktWGX/creative-labs-sound-blasterx-kratos-s5-0w-21ch-speakers-51mf0470aa001,,2.1,,,
Razer Ferox,https://pcpartpicker.com/product/4V38TW/razer-ferox-6w-2ch-speakers-rz05-00500200-r3u2,,2,6,"150,20",
Avermedia GS315-DM,https://pcpartpicker.com/product/4FGj4D/avermedia-gs315-dm-77w-21ch-speakers-gs315-dm,,2.1,77,"35,20",
Cyber Acoustics Curve Sonic,https://pcpartpicker.com/product/XMvZxr/cyber-acoustics-curve-sonic-3w-2ch-speakers-sonic,,2,3,,
Creative Labs T3250,https://pcpartpicker.com/product/6CzZxr/creative-labs-t3250-0w-21ch-speakers-51mf0450aa003,,2.1,,,
Cyber Acoustics CA-2027,https://pcpartpicker.com/product/qZwqqs/cyber-acoustics-ca-2027-5w-2ch-speakers-ca-2027,,2,5,,
Altec Lansing BX1521,https://pcpartpicker.com/product/kGsKHx/altec-lansing-bx1521-0w-21ch-speakers-bx1521,,2.1,,,
Altec Lansing BX1520,https://pcpartpicker.com/product/GmyFf7/altec-lansing-bx1520-6w-2ch-speakers-bx1520,,2,6,,
Pioneer SP-BS21-LR,https://pcpartpicker.com/product/cH97YJ/pioneer-sp-bs21-lr-80w-2ch-speakers-sp-bs21-lr,,2,80,"65,20",
Swan Speakers M200MkIII,https://pcpartpicker.com/product/22m323/swan-speakers-m200mkiii-120w-2ch-speakers-m200mkiii,,2,120,"53,20",Brown / Black
Mackie MRS10,https://pcpartpicker.com/product/22kj4D/mackie-mrs10-012w-1ch-speakers-2048460-00,,1,120,"40,180",Black
M-Audio BX8 D3,https://pcpartpicker.com/product/Tk8j4D/m-audio-bx8-d3-150w-1ch-speakers-bx8-d3,,1,150,"37,22",Black
M-Audio BX8 CARBON,https://pcpartpicker.com/product/ZbdxFT/m-audio-bx8-carbon-130w-1ch-speakers-bx8-carbon,,1,130,"38,22",Black / Silver
M-Audio M3-8 (black),https://pcpartpicker.com/product/4LjJ7P/m-audio-m3-8-black-220w-1ch-speakers-m3-8-black,,1,220,"38,22",Black
M-Audio BX5 D3 Crimson,https://pcpartpicker.com/product/BKx2FT/m-audio-bx5-d3-crimson-100w-1ch-speakers-bx5-d3-crimson,,1,100,"52,35",Black / Red
Klipsch Reference R-14PM,https://pcpartpicker.com/product/28vbt6/klipsch-reference-r-14pm-70-w-20-channel-speakers-1064297,,2,70,"80,20",Black / Brown
Kanto YU2GR,https://pcpartpicker.com/product/kjCD4D/kanto-yu2gr-50w-2ch-speakers-yu2gr,,2,50,"80,20",Red / Black
Edifier Luna Eclipse E25,https://pcpartpicker.com/product/WMgzK8/edifier-luna-eclipse-e25-74w-2ch-speakers-4000874,,2,74,"30,20",Black
Altec Lansing VS4621,https://pcpartpicker.com/product/TDtQzy/altec-lansing-vs4621-28-w-21ch-speakers-vs4621,,2.1,28,"45,18",Black
Edifier S1000DB,https://pcpartpicker.com/product/kqQfrH/edifier-s1000db-120-w-20-channel-speakers-s1000db,,2,120,"48,20",Brown / Black
Fluance Ai60 Black Ash,https://pcpartpicker.com/product/6VgQzy/fluance-ai60-black-ash-100-w-20-channel-speakers-ai60,,2,100,"35,30",Black / Beige
Fluance Ai60 Lucky Bamboo,https://pcpartpicker.com/product/jQxbt6/fluance-ai60-lucky-bamboo-100-w-20-channel-speakers-ai60w,,2,100,"35,30",White / White
Fluance Ai60 Natural Walnut,https://pcpartpicker.com/product/zxPgXL/fluance-ai60-natural-walnut-100-w-20-channel-speakers-ai60b,,2,100,"35,30",Black / Brown
Fluance Ai60 White Walnut,https://pcpartpicker.com/product/BHsnTW/fluance-ai60-white-walnut-100-w-20-channel-speakers-ai60ww,,2,100,"35,30",White / Brown
Vanatoo Transparent Zero,https://pcpartpicker.com/product/mJ4Ycf/vanatoo-96-w-20-channel-speakers-t0-black,,2,96,"52,20",Black
Vanatoo Transparent One Encore,https://pcpartpicker.com/product/xPBG3C/vanatoo-transparent-one-encore-240-w-20-channel-speakers-t1e-cherry,,2,240,"48,20",Black / Brown
SteelSeries Arena 3 AU,https://pcpartpicker.com/product/gPgrxr/steelseries-arena-3-au-speakers-61537,135.44,2,,"50,20",Black
SteelSeries Arena 3 SK,https://pcpartpicker.com/product/QRgrxr/steelseries-arena-3-sk-speakers-61539,,2,,"50,20",Black
SteelSeries Arena 7 JP,https://pcpartpicker.com/product/RzFmP6/steelseries-arena-7-jp-21-channel-speakers-61545,,2.1,,"35,20",Black
SteelSeries Arena 9 JP,https://pcpartpicker.com/product/m3mNnQ/steelseries-arena-9-jp-51-channel-speakers-61551,,5.1,,"35,20",Black
Creative Labs Sound Blaster GS3 Rev C,https://pcpartpicker.com/product/kx88TW/creative-labs-sound-blaster-gs3-rev-c-12-w-speakers-03mf846500000-rev-c,,2,12,"65,20",Black
