name,part_url,price,resolutions,connection,focus_type,os,fov
Elgato Facecam Pro,https://pcpartpicker.com/product/dx9wrH/elgato-facecam-pro-webcam-10wab9901,181.99,"4k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",90
Logitech BRIO Ultra HD Pro,https://pcpartpicker.com/product/zxqBD3/logitech-brio-ultra-hd-pro-webcam-960-001105,129.99,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X,ChromeOS",82
OBSBOT Tiny 2,https://pcpartpicker.com/product/XVCZxr/obsbot-tiny-2-webcam-owb-2204-ce,249,"4k,2k,1080p,720p,480p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",85.5
Anker PowerConf C200,https://pcpartpicker.com/product/czt9TW/anker-powerconf-c200-webcam-a3369,47.99,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
Logitech C270,https://pcpartpicker.com/product/8krYcf/logitech-c270-webcam-960-000694,16.98,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS,Android",60
Logitech BRIO STREAM,https://pcpartpicker.com/product/jkxxFT/logitech-brio-stream-webcam-960-001194,207.12,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X,ChromeOS",90
Logitech C920 HD Pro,https://pcpartpicker.com/product/Wd2bt6/logitech-c920-hd-pro-webcam-960-000764,80.9,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Elgato Facecam 4K,https://pcpartpicker.com/product/8mQwrH/elgato-facecam-4k-webcam-10waf9901,159.99,"4k,2k,1080p,720p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",90
Logitech C920s HD Pro,https://pcpartpicker.com/product/2LgQzy/logitech-c920s-hd-pro-webcam-960-001257,72.93,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Insta360 Link 2,https://pcpartpicker.com/product/J7wD4D/insta360-link-2-webcam-cinsabnb-st,199.99,"4k,1080p,720p",USB 2.0 Type-C,Auto,"Windows,OS X",79.5
Logitech MX BRIO,https://pcpartpicker.com/product/fPkH99/logitech-mx-brio-webcam-960-001550,245.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90
Adesso Cybertrack H2,https://pcpartpicker.com/product/XB6qqs/adesso-cybertrack-h2-webcam-cybertrack-h2,14.99,"480p",USB 2.0 Type-A,Fixed,"Windows,OS X",62
aoni A31,https://pcpartpicker.com/product/gxqBD3/aoni-a31-webcam-a31,21.95,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Linux,ChromeOS,Android",84
Razer Kiyo,https://pcpartpicker.com/product/F9drxr/razer-kiyo-webcam-rz19-02320100-r3u1,98.14,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows",81.6
Razer Kiyo Pro Ultra,https://pcpartpicker.com/product/dMfnTW/razer-kiyo-pro-ultra-webcam-rz19-04420100-r3u1,,"4k,2k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows",82
Green Extreme T200,https://pcpartpicker.com/product/2GgQzy/green-extreme-t200-webcam-gx-t200,14.99,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",65
Logitech C922 Pro Stream HD,https://pcpartpicker.com/product/DTgQzy/logitech-c922-pro-stream-hd-webcam-960-001087,119.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
NexiGo N60,https://pcpartpicker.com/product/ByZWGX/nexigo-n60-webcam-n60,30.99,"1080p",USB 2.0 Type-A,Fixed,"Windows,OS X,Linux,ChromeOS,Android",110
Elgato FACECAM MK.2,https://pcpartpicker.com/product/Cbgrxr/elgato-facecam-mk2-webcam-10wac9901,139.34,"1080p,720p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",84
Logitech MX BRIO,https://pcpartpicker.com/product/4d7scf/logitech-mx-brio-webcam-960-001558,189.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90
Anker AnkerWork C310,https://pcpartpicker.com/product/vR7scf/anker-ankerwork-c310-webcam-a3367,105.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
Logitech MX BRIO,https://pcpartpicker.com/product/nLNYcf/logitech-mx-brio-webcam-960-001545,221.29,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90
Razer Kiyo Pro,https://pcpartpicker.com/product/JBcG3C/razer-kiyo-pro-webcam-rz19-03640100-r3u1,223,"1080p,720p,480p",USB 3.2 Gen 1 Type-A,Auto,"Windows",103
Elgato Facecam Neo,https://pcpartpicker.com/product/mBxTwP/elgato-facecam-neo-webcam-10wae9901,49.99,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",77
Adesso CyberTrack H3,https://pcpartpicker.com/product/JXzFf7/adesso-cybertrack-h3-webcam-cybertrackh3,19,"720p",USB 2.0 Type-A,Manual,"Windows,OS X",
Insta360 Insta360 Link,https://pcpartpicker.com/product/WHC48d/insta360-insta360-link-webcam-cinstbja,178.99,"4k,1080p,720p",USB 2.0 Type-C,Auto,"Windows,OS X",79.5
Razer Kiyo X,https://pcpartpicker.com/product/rrbTwP/razer-kiyo-x-webcam-rz19-04170100-r3u1,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows",82
NexiGo N660P,https://pcpartpicker.com/product/Hc3NnQ/nexigo-n660p-webcam-n660pwht,57.99,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",
OBSBOT MEET 2,https://pcpartpicker.com/product/zZ4Zxr/obsbot-meet-2-webcam-meet-2-space-grey,123,"4k,1080p,720p,480p",USB 2.0 Type-C,Auto,"Windows,OS X",79.4
Logitech C925e,https://pcpartpicker.com/product/mjDkcf/logitech-c925e-webcam-960-001075,119.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,Linux",78
Logitech StreamCam,https://pcpartpicker.com/product/7FLwrH/logitech-streamcam-webcam-960-001286,149.99,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
Adesso Cybertrack H6,https://pcpartpicker.com/product/td2bt6/adesso-cybertrack-h6-webcam-cybertrack-h6,67.99,"4k",USB 2.0 Type-A,Fixed,"Windows,OS X",80
Asus ROG EYE S,https://pcpartpicker.com/product/N2TFf7/asus-rog-eye-s-webcam-rog-eye-s,192.99,"1080p",USB 2.0 Type-A,Auto,,
Adesso Cybertrack H4,https://pcpartpicker.com/product/hrQfrH/adesso-cybertrack-h4-webcam-cybertrack-h4,29.99,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X",78
Logitech StreamCam,https://pcpartpicker.com/product/9YK2FT/logitech-streamcam-webcam-960-001289,154.11,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
Adesso Cybertrack H5,https://pcpartpicker.com/product/pnBhP6/adesso-cybertrack-h5-webcam-cybertrack-h5,29,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",80
OBSBOT Tiny SE,https://pcpartpicker.com/product/gfG2FT/obsbot-tiny-se-webcam-tiny-se,93,"1080p,720p,480p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
OBSBOT MEET 2,https://pcpartpicker.com/product/BrJp99/obsbot-meet-2-webcam-meet-2-cloud-white,100,"4k,1080p,720p,480p",USB 2.0 Type-C,Auto,"Windows,OS X",79.4
Dell WB3023,https://pcpartpicker.com/product/csWmP6/dell-wb3023-webcam-wb3023-ddao,82.96,"2k,1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",78
Logitech C930e,https://pcpartpicker.com/product/6V9tt6/logitech-c930e-webcam-960-000971,87.09,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",90
NexiGo N660P,https://pcpartpicker.com/product/p63NnQ/nexigo-n660p-webcam-n660p-pink,59.99,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",
Creative Labs Live! Cam Sync 1080p,https://pcpartpicker.com/product/k3GnTW/creative-labs-live-cam-sync-1080p-webcam-03vf086000000,71.31,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",77
Avermedia PW513,https://pcpartpicker.com/product/NGjBD3/avermedia-pw513-webcam-pw513,99.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",94
Logitech B525,https://pcpartpicker.com/product/rCWBD3/logitech-b525-webcam-960-000841,65.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",69
Avermedia Live Streamer CAM 313,https://pcpartpicker.com/product/nhwkcf/avermedia-live-streamer-cam-313-webcam-pw313,59.86,"1080p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Logitech StreamCam Plus,https://pcpartpicker.com/product/jQsnTW/logitech-streamcam-plus-webcam-960-001280,159.99,"1080p,720p,480p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",
Logitech C505,https://pcpartpicker.com/product/4DzhP6/logitech-c505-webcam-960-001363,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60
Elgato Facecam Premium,https://pcpartpicker.com/product/N9nypg/elgato-facecam-premium-webcam-10waa9901,,"1080p,720p",USB 3.2 Gen 1 Type-A,Manual,"Windows,OS X",82
Asus Webcam C3,https://pcpartpicker.com/product/TcYmP6/asus-webcam-c3-webcam-asus-webcam-c3,,"1080p",USB 2.0 Type-A,,"Windows,OS X,ChromeOS",
Logitech C910,https://pcpartpicker.com/product/2kCFf7/logitech-c910-webcam-960-000597,70.47,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",78
Anker B600 Video Bar,https://pcpartpicker.com/product/JDt9TW/anker-b600-video-bar-webcam-a3383,,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
Logitech C310,https://pcpartpicker.com/product/xmZzK8/logitech-c310-webcam-960-000585,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS,Android",60
OBSBOT Tiny 4K,https://pcpartpicker.com/product/vDMMnQ/obsbot-tiny-4k-webcam-owb-2105-ce,,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",90
Microsoft LifeCam Studio,https://pcpartpicker.com/product/nqMTwP/microsoft-lifecam-studio-webcam-q2f-00013,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75
Microsoft LifeCam HD-3000,https://pcpartpicker.com/product/MxqBD3/microsoft-lifecam-hd-3000-webcam-t4h-00002,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Logitech C615 Portable,https://pcpartpicker.com/product/b6bCmG/logitech-c615-portable-webcam-960-000733,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Logitech C505e,https://pcpartpicker.com/product/YJkWGX/logitech-c505e-webcam-960-001385,70.79,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60
AUKEY PC-LM1,https://pcpartpicker.com/product/R9drxr/aukey-pc-lm1-webcam-pc-lm1,,"1080p,720p,480p",USB 2.0 Type-A,Manual,"Windows,OS X,Android",55
NexiGo N660P,https://pcpartpicker.com/product/hfYRsY/nexigo-n660p-webcam-n660p,62.99,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",
Microsoft LifeCam Studio for Business,https://pcpartpicker.com/product/Dydrxr/microsoft-lifecam-studio-for-business-webcam-5wh-00002,107.9,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75
Anker PowerConf C302,https://pcpartpicker.com/product/dPPQzy/anker-powerconf-c302-webcam-a3362,,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115
Avermedia PW315,https://pcpartpicker.com/product/BmxRsY/avermedia-pw315-webcam-pw315,113.99,"1080p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",95.8
Avermedia PW310P,https://pcpartpicker.com/product/ZL7G3C/avermedia-pw310p-webcam-pw310p,78.99,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",73
Logitech C525,https://pcpartpicker.com/product/knBhP6/logitech-c525-webcam-960-000715,81.98,"720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",69
Green Extreme T1000,https://pcpartpicker.com/product/6gjNnQ/green-extreme-t1000-webcam-gx-t1000,129,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",120
OBSBOT MEET 2,https://pcpartpicker.com/product/jWn9TW/obsbot-meet-2-webcam-meet-2-aurora-green,117,"4k,1080p,720p,480p",USB 2.0 Type-C,Auto,"Windows,OS X",79.4
Microsoft LifeCam CinemaaFor Business,https://pcpartpicker.com/product/wnBhP6/microsoft-lifecam-cinemaafor-business-webcam-6ch-00001,92.79,"720p",USB 2.0 Type-A,Auto,"Windows,OS X",
Green Extreme T200 + Live Streaming Bundle,https://pcpartpicker.com/product/j9drxr/green-extreme-t200-live-streaming-bundle-webcam-gx-t200-k1,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",
Asus ROG EYE,https://pcpartpicker.com/product/KLgQzy/asus-rog-eye-webcam-rog-eye,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",
Creative Labs BlasterX Senz3D,https://pcpartpicker.com/product/mpkgXL/creative-labs-blasterx-senz3d-webcam-vf081000000,,"1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows",77
Green Extreme T300,https://pcpartpicker.com/product/bzLwrH/green-extreme-t300-webcam-gx-t300,,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",94
VDO360 2SEE,https://pcpartpicker.com/product/TxqBD3/vdo360-2see-webcam-vdos4m,91.98,"1080p,720p",USB 2.0 Type-A,,"Windows,OS X,Linux,Android",75
Avermedia 4K UHD Webcam 510,https://pcpartpicker.com/product/wJQfrH/avermedia-4k-uhd-webcam-510-webcam-pw510,,"4k,1080p,720p,480p",USB 3.2 Gen 1 Type-C,,"Windows",85
Wansview 101JD,https://pcpartpicker.com/product/67jNnQ/wansview-101jd-webcam-101jd,,"1080p",USB 2.0 Type-A,,"Windows,OS X,Android",90
Anker PowerConf C300,https://pcpartpicker.com/product/yrZ9TW/anker-powerconf-c300-webcam-a3361,,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115
Microsoft Lifecam Cinema,https://pcpartpicker.com/product/N77p99/microsoft-lifecam-cinema-webcam-h5d-00013,120.99,"720p",USB 2.0 Type-A,Auto,"Windows",73
Adesso Cybertrack H4P,https://pcpartpicker.com/product/HjDkcf/adesso-cybertrack-h4p-webcam-cybertrack-h4p,,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X",78
Avermedia HD Webcam 310,https://pcpartpicker.com/product/MQsnTW/avermedia-hd-webcam-310-webcam-pw310o,,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",
Wansview 105JD,https://pcpartpicker.com/product/8WqPxr/wansview-105jd-webcam-105jd,,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X,Android",90
OBSBOT Tiny,https://pcpartpicker.com/product/JpNYcf/obsbot-tiny-webcam-owb-2004-ce,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",86
Microsoft LifeCam HD-3000 L2,https://pcpartpicker.com/product/LxqBD3/microsoft-lifecam-hd-3000-l2-webcam-t3h-00011,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Creative Labs Live! Cam Sync HD,https://pcpartpicker.com/product/8qMTwP/creative-labs-live-cam-sync-hd-webcam-73vf077000000,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Wansview 102JD,https://pcpartpicker.com/product/j3Dkcf/wansview-102jd-webcam-102jd,,"1080p",USB 2.0 Type-A,,"Windows,OS X,Android",90
Wansview 106JD,https://pcpartpicker.com/product/xDgFf7/wansview-106jd-webcam-106jd,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",60
