name,part_url,price,protocol,interface,color
Gigabyte GC-WBAX210,https://pcpartpicker.com/product/nRM48d/gigabyte-gc-wbax210-80211abgnacax-pcie-x1-wi-fi-adapter-gc-wbax210,25.01,Wi-Fi 6E,PCIe x1,Black / Silver
TP-Link Archer TBE550E,https://pcpartpicker.com/product/wJ7MnQ/tp-link-archer-tbe550e-80211abgnacax-pcie-x1-wi-fi-adapter-archer-tbe550e,97.98,Wi-Fi 7,PCIe x1,Black
TP-Link Archer TX3000E,https://pcpartpicker.com/product/dBFKHx/tp-link-archer-tx3000e-pcie-x1-80211abgnacax-wi-fi-adapter-archer-tx3000e,34.37,Wi-Fi 6,PCIe x1,Red / Black
TP-Link ArcherTX20E,https://pcpartpicker.com/product/LW9wrH/tp-link-archertx20e-80211abgnacax-pcie-x1-wi-fi-adapter-archertx20e,28.98,Wi-Fi 6,PCIe x1,Black
Belkin AE6000,https://pcpartpicker.com/product/NRBrxr/belkin-ae6000-usb-20-80211abgnac-wi-fi-adapter-ae6000,,Wi-Fi 5,USB Type-A 2.0,
TP-Link Archer T9UH,https://pcpartpicker.com/product/8hfhP6/tp-link-archer-t9uh-usb-30-wi-fi-adapter-archer-t9uh,,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TP-Link Archer TX55E,https://pcpartpicker.com/product/CTcG3C/tp-link-archer-tx55e-80211abgnacax-pcie-x1-wi-fi-adapter-archer-tx55e,31.53,Wi-Fi 6,PCIe x1,
TP-Link ARCHER T2U PLUS,https://pcpartpicker.com/product/3YndnQ/tp-link-archer-t2u-plus-usb-20-wi-fi-adapter-archer-t2u-plus,13.71,Wi-Fi 5,USB Type-A 2.0,Black
Asus USB-N53,https://pcpartpicker.com/product/G9kD4D/asus-wireless-network-card-usbn53,156.99,Wi-Fi 4,USB Type-A 2.0,
MSI HERALD-BE WIFI 7 MAX,https://pcpartpicker.com/product/nvHqqs/msi-herald-be-wifi-7-max-80211abgnacax-pcie-x1-wi-fi-adapter-herald-be-wifi-7-max,58.99,Wi-Fi 7,PCIe x1,Black
Intel AX210,https://pcpartpicker.com/product/4nkWGX/intel-ax210-80211abgnacax-m2-wi-fi-adapter-ax210ngwgnv,24.98,Wi-Fi 6E,M.2 PCIe,Green
TP-Link TL-WN725N,https://pcpartpicker.com/product/wQmLrH/tp-link-wireless-network-card-tlwn725n,15.41,Wi-Fi 4,USB Type-A 2.0,
Asus PCE-AX1800,https://pcpartpicker.com/product/6MjBD3/asus-pce-ax1800-80211abgnacax-pcie-x1-wi-fi-adapter-pce-ax1800,33.99,Wi-Fi 6,PCIe x1,Black
TP-Link Archer TBE400E,https://pcpartpicker.com/product/ZxPv6h/tp-link-archer-tbe400e-80211abgnacax-pcie-x1-wi-fi-adapter-archer-tbe400e,53.99,Wi-Fi 7,PCIe x1,Black / Gold
TP-Link TL-WN881ND,https://pcpartpicker.com/product/Chh9TW/tp-link-wireless-network-card-tlwn881nd,22.99,Wi-Fi 4,PCIe x1,
D-Link DWA-180,https://pcpartpicker.com/product/xQphP6/d-link-wireless-network-card-dwa180,,Wi-Fi 5,USB Type-A 2.0,
StarTech USB150WN1X1,https://pcpartpicker.com/product/994gXL/startech-wireless-network-card-usb150wn1x1,9.5,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T3U Plus,https://pcpartpicker.com/product/wsTzK8/tp-link-archer-t3u-plus-80211abgnac-usb-type-a-wi-fi-adapter-archer-t3u-plus,17.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Ziyituod ZYT-AX210S,https://pcpartpicker.com/product/NQ8bt6/ziyituod-zyt-ax210s-80211abgnacax-pcie-x1-wi-fi-adapter-zyt-ax210s,24.99,Wi-Fi 6E,PCIe x1,Red
TP-Link Archer TXE72E,https://pcpartpicker.com/product/MJLFf7/tp-link-archer-txe72e-80211abgnacax-pcie-x1-wi-fi-adapter-archer-txe72e,49.97,Wi-Fi 6E,PCIe x1,
Asus PCE-AX3000,https://pcpartpicker.com/product/VT2bt6/asus-pce-ax3000-pcie-x1-80211abgnacax-wi-fi-adapter-pce-ax3000,53.99,Wi-Fi 6,PCIe x1,Black
Netgear WNA3100M-100ENS,https://pcpartpicker.com/product/YdyFf7/netgear-wireless-network-card-wna3100m100ens,,Wi-Fi 4,USB Type-A 2.0,
TP-Link ARCHER T2E,https://pcpartpicker.com/product/xsxRsY/tp-link-archer-t2e-80211abgnac-pcie-x1-wi-fi-adapter-archer-t2e,14.99,Wi-Fi 5,PCIe x1,
EDUP EP-9636GS-BL,https://pcpartpicker.com/product/zQqPxr/edup-ep-9636gs-bl-pcie-x1-80211abgnacax-wi-fi-adapter-ep-9636gs-bl,21.99,Wi-Fi 6,PCIe x1,Black
Asus PCE-AXE5400,https://pcpartpicker.com/product/44sV3C/asus-pce-axe5400-80211abgnacax-pcie-x1-wi-fi-adapter-pce-axe5400,60.65,Wi-Fi 6E,PCIe x1,Black
TP-Link Archer TX50E,https://pcpartpicker.com/product/Czdrxr/tp-link-archer-tx50e-pcie-x1-80211abgnacax-wi-fi-adapter-archer-tx50e,,Wi-Fi 6,PCIe x1,Black
TP-Link Archer TXE75E,https://pcpartpicker.com/product/nqvdnQ/tp-link-archer-txe75e-80211abgnacax-pcie-x1-wi-fi-adapter-archer-txe75e,46.97,Wi-Fi 6E,PCIe x1,
Asus PCE-BE92BT,https://pcpartpicker.com/product/n77scf/asus-pce-be92bt-80211abgnacax-pcie-x1-wi-fi-adapter-pce-be92bt,110,Wi-Fi 7,PCIe x1,Black
Asus PCE-BE6500,https://pcpartpicker.com/product/R3BFf7/asus-pce-be6500-80211abgnacax-pcie-x1-wi-fi-adapter-pce-be6500,62.99,Wi-Fi 7,PCIe x1,Black
Netgear Nighthawk A9000,https://pcpartpicker.com/product/ccjv6h/netgear-nighthawk-a9000-80211abgnacax-usb-type-a-wi-fi-adapter-a9000-100pas,104.99,Wi-Fi 7,USB Type-A 3.2 Gen 1,Black
TP-Link TL-WDN4800,https://pcpartpicker.com/product/G4H323/tp-link-wireless-network-card-tlwdn4800,,Wi-Fi 4,PCIe x1,
Asus USB-BE92 Nano,https://pcpartpicker.com/product/Fk7MnQ/asus-usb-be92-nano-80211abgnacax-usb-type-a-wi-fi-adapter-usb-be92-nano,92.98,Wi-Fi 7,USB Type-A,Black
TP-Link Archer TX20U plus,https://pcpartpicker.com/product/Cs2WGX/tp-link-archer-tx20u-plus-80211abgnacax-usb-type-a-wi-fi-adapter-archer-tx20u-plus,28.47,Wi-Fi 6,USB Type-A 3.2 Gen 1,
TP-Link Archer T4E,https://pcpartpicker.com/product/kz8j4D/tp-link-archer-t4e-pcie-x1-wi-fi-adapter-aa528899,,Wi-Fi 5,PCIe x1,
Asus ROG USB-BE92,https://pcpartpicker.com/product/9z9nTW/asus-rog-usb-be92-80211abgnacax-usb-type-a-wi-fi-adapter-rog-usb-be92,99.98,Wi-Fi 7,USB Type-A,
EDUP EP-9651,https://pcpartpicker.com/product/7NXJ7P/edup-ep-9651-80211abgnacax-pcie-x1-wi-fi-adapter-ep-ep9651,30.99,Wi-Fi 6E,PCIe x1,Blue / Black
Netgear Nighthawk AXE3000,https://pcpartpicker.com/product/gjjBD3/netgear-nighthawk-axe3000-80211abgnacax-usb-type-a-wi-fi-adapter-a8000100pas,68,Wi-Fi 6E,USB Type-A 3.2 Gen 1,Black
TP-Link Archer TBE552E,https://pcpartpicker.com/product/Ycjv6h/tp-link-archer-tbe552e-80211abgnacax-pcie-x1-wi-fi-adapter-archer-tbe552e,91.98,Wi-Fi 7,PCIe x1,Black / Gold
Asus PCE-AC56,https://pcpartpicker.com/product/bQ8Zxr/asus-wireless-network-card-pceac56,36.99,Wi-Fi 5,PCIe x1,
TP-Link Archer T5E,https://pcpartpicker.com/product/XdcRsY/tp-link-archer-t5e-pcie-x1-80211abgnac-wi-fi-adapter-archer-t5e,26.99,Wi-Fi 5,PCIe x1,Black
Ziyituod ZYT-AX200,https://pcpartpicker.com/product/QDyqqs/ziyituod-zyt-ax200-pcie-x1-80211abgnacax-wi-fi-adapter-zyt-ax200,,Wi-Fi 6,PCIe x1,Green
MSI HERALD-BE NCM865 WI-FI 7,https://pcpartpicker.com/product/zNwmP6/msi-herald-be-ncm865-wi-fi-7-80211abgnacax-pcie-x1-wi-fi-adapter-herald-be-ncm865-wi-fi-7,,Wi-Fi 7,PCIe x1,Black
Belkin F9L1101,https://pcpartpicker.com/product/YzKhP6/belkin-wireless-network-card-f9l1101,,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer TX20U Nano,https://pcpartpicker.com/product/wVgZxr/tp-link-archer-tx20u-nano-80211abgnacax-usb-type-a-wi-fi-adapter-archer-tx20u-nano,27.98,Wi-Fi 6,USB Type-A 2.0,Black
Intel Killer AX1675,https://pcpartpicker.com/product/ynjRsY/intel-killer-ax1675-80211abgnacax-pcie-x1-wi-fi-adapter-ax210d2wgnvxc,59.93,Wi-Fi 6E,PCIe x1,
Asus PCE-AXE58BT,https://pcpartpicker.com/product/JDFbt6/asus-pce-axe58bt-80211abgnacax-pcie-x1-wi-fi-adapter-pce-axe58bt,64.99,Wi-Fi 6E,PCIe x1,Black / Gold
Intel AX200,https://pcpartpicker.com/product/MMjBD3/intel-ax200-80211abgnacax-m2-e-wi-fi-adapter-ax200ngwgdtk,,Wi-Fi 6,M.2,
Intel AX210 w/vPro,https://pcpartpicker.com/product/YHVmP6/intel-ax210-wvpro-80211abgnacax-m2-wi-fi-adapter-ax210ngwg,26.99,Wi-Fi 6E,M.2 PCIe,Green
Asus PCE-AC68,https://pcpartpicker.com/product/8VMFf7/asus-wireless-network-card-pceac68,,Wi-Fi 5,PCIe x1,
TP-Link Archer T2U Nano,https://pcpartpicker.com/product/FDBTwP/tp-link-archer-t2u-nano-usb-20-wi-fi-adapter-archer-t2u-nano,14.99,Wi-Fi 4,USB Type-A 2.0,Black / Gold
Intel 7260HMWDTX1,https://pcpartpicker.com/product/HdnG3C/intel-7260hmwdtx1-none-wi-fi-adapter-7260hmwdtx1r,110,Wi-Fi 5,PCIe x1,
TP-Link Archer T6E AC1300,https://pcpartpicker.com/product/KJfmP6/tp-link-archer-t6e-ac1300-none-wi-fi-adapter-archer-t6e,55.99,Wi-Fi 5,PCIe x1,
TP-Link TL-WN781ND,https://pcpartpicker.com/product/sN8Zxr/tp-link-wireless-network-card-tlwn781nd,,Wi-Fi 4,PCIe x1,
Gigabyte GC-WB1733D-I,https://pcpartpicker.com/product/j9m323/gigabyte-gc-wb1733d-i-none-wi-fi-adapter-gc-wb1733d-i,,Wi-Fi 5,PCIe x1,Black
TP-Link Archer T4U Plus,https://pcpartpicker.com/product/MvLwrH/tp-link-archer-t4u-plus-80211abgnac-usb-type-a-wi-fi-adapter-archer-t4u-plus,22.58,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Ubit AX210,https://pcpartpicker.com/product/69qPxr/ubit-ax210-80211abgnacax-pcie-x1-wi-fi-adapter-ax210,,Wi-Fi 6E,PCIe x1,Black
Asus PCE-AX58BT,https://pcpartpicker.com/product/kCzFf7/asus-pce-ax58bt-pcie-x1-wi-fi-adapter-pce-ax58bt,64,Wi-Fi 6,PCIe x1,Black
Asus USB-AC53 NANO,https://pcpartpicker.com/product/c8ZFf7/asus-usb-ac53-nano-none-wi-fi-adapter-usb-ac53-nano,36.99,Wi-Fi 5,USB Type-A 2.0,
Asus PCE-AC88,https://pcpartpicker.com/product/vwcMnQ/asus-pce-ac88-none-wi-fi-adapter-pce-ac88,,Wi-Fi 5,PCIe x1,
Gigabyte GC-WB867D-I,https://pcpartpicker.com/product/tTdqqs/gigabyte-wireless-network-card-gcwb867di,,Wi-Fi 5,PCIe x1,
MSI ‎AXE5400,https://pcpartpicker.com/product/4C9nTW/msi-axe5400-80211abgnacax-usb-type-a-wi-fi-adapter-302-8ze10xu-000,54.99,Wi-Fi 6E,USB Type-A 3.2 Gen 1,Black
Cudy WE3000,https://pcpartpicker.com/product/h7V2FT/cudy-we3000-80211abgnacax-pcie-x1-wi-fi-adapter-we3000,,Wi-Fi 6,PCIe x1,
Asus PCE-BE90BT,https://pcpartpicker.com/product/3DKnTW/asus-pce-be90bt-80211abgnacax-pcie-x1-wi-fi-adapter-pce-be90bt,64.98,Wi-Fi 7,PCIe x1,Black
Ubit G10H-AX210S,https://pcpartpicker.com/product/HZhFf7/ubit-g10h-ax210s-80211abgnacax-pcie-x1-wi-fi-adapter-g10h-ax210s,,Wi-Fi 6E,PCIe x1,
Rosewill RNX-N250PCe,https://pcpartpicker.com/product/CG9KHx/rosewill-wireless-network-card-rnxn250pce,19.88,Wi-Fi 4,PCIe x1,
TP-Link Archer T3U,https://pcpartpicker.com/product/WzBTwP/tp-link-archer-t3u-usb-30-wi-fi-adapter-archer-t3u,20,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TP-Link Archer T9E,https://pcpartpicker.com/product/pxrcCJ/tp-link-wireless-network-card-archert9e,117.99,Wi-Fi 5,PCIe x1,
MSI BE6500,https://pcpartpicker.com/product/YrnXsY/msi-be6500-80211abgnacax-usb-type-a-wi-fi-adapter-302-8ze20xu-000,82.99,Wi-Fi 7,USB Type-A 3.2 Gen 1,Black
Gigabyte GC-WBAX200,https://pcpartpicker.com/product/z44BD3/gigabyte-gc-wbax200-pcie-x1-80211abgnacax-wi-fi-adapter-gc-wbax200,,Wi-Fi 6,PCIe x1,Black / Silver
BrosTrend AC5,https://pcpartpicker.com/product/vkCD4D/brostrend-ac5-none-wi-fi-adapter-ac5,,Wi-Fi 5,USB Type-A 2.0,Black
Asus PCE-N15,https://pcpartpicker.com/product/RZNp99/asus-wireless-network-card-pcen15,,Wi-Fi 4,PCIe x1,
TP-Link Archer T2UB Nano,https://pcpartpicker.com/product/Whstt6/tp-link-archer-t2ub-nano-80211abgnac-usb-type-a-wi-fi-adapter-archer-t2ub-nano,16.98,Wi-Fi 5,USB Type-A 2.0,Black
Asus PCE-AC55BT B1,https://pcpartpicker.com/product/6Zs8TW/asus-pce-ac55bt-b1-none-wi-fi-adapter-pce-ac55bt-b1,,Wi-Fi 5,PCIe x1,
Netgear A6210-100PAS,https://pcpartpicker.com/product/tj2rxr/netgear-wireless-network-card-a6210100pas,,Wi-Fi 5,USB Type-A 3.2 Gen 1,
3M 78-6972-0104-0,https://pcpartpicker.com/product/qDPfrH/3m-wireless-network-card-78697201040,76.99,Wi-Fi 3,USB Type-A 2.0,
NEC NP05LM1,https://pcpartpicker.com/product/4rdxFT/nec-np05lm1-80211abgn-usb-type-a-wi-fi-adapter-np05lm1,,Wi-Fi 4,USB Type-A 2.0,White
TP-Link Archer TBE400UH,https://pcpartpicker.com/product/48CCmG/tp-link-archer-tbe400uh-80211abgnacax-usb-type-a-wi-fi-adapter-archer-tbe400uh,,Wi-Fi 7,USB Type-A 3.2 Gen 1,Black / Silver
Intel AX200.NGWG.NV,https://pcpartpicker.com/product/XWwkcf/intel-ax200ngwgnv-80211abgnacax-m2-wi-fi-adapter-ax200ngwgnv,24.4,Wi-Fi 6,M.2,
Asus USB-AX56,https://pcpartpicker.com/product/JDLFf7/asus-usb-ax56-80211abgnacax-usb-type-a-wi-fi-adapter-usb-ax56,135.91,Wi-Fi 6,USB Type-A 3.2 Gen 1,Black
fenvi FV-HB1200,https://pcpartpicker.com/product/bBFmP6/fenvi-fv-hb1200-80211abgnac-pcie-x1-wi-fi-adapter-fv-hb1200,57.69,Wi-Fi 5,PCIe x1,Black / Blue
Netgear Nighthawk AC1900 A7000-10000S,https://pcpartpicker.com/product/fBCD4D/netgear-nighthawk-ac1900-a7000-10000s-usb-30-80211abgnac-wi-fi-adapter-a7000-10000s,78,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Intel 7260HMWDTX1,https://pcpartpicker.com/product/4Yn2FT/intel-wireless-network-card-7260hmwdtx1,,Wi-Fi 5,PCIe x1,
Intel 7260,https://pcpartpicker.com/product/fhPzK8/intel-wireless-network-card-7260hmwwbr,16.98,Wi-Fi 5,Mini-PCIe,
MSI AX1800,https://pcpartpicker.com/product/cZLdnQ/msi-ax1800-80211abgnacax-usb-type-a-wi-fi-adapter-302-8ze00xu-000,50.98,Wi-Fi 6,USB Type-A 3.2 Gen 1,Black
TP-Link TL-WN823N,https://pcpartpicker.com/product/gWg323/tp-link-wireless-network-card-tlwn823n,18.64,Wi-Fi 4,USB Type-A 2.0,
StarTech USB150WN1X1W,https://pcpartpicker.com/product/wL6BD3/startech-usb150wn1x1w-usb-20-80211abgn-wi-fi-adapter-usb150wn1x1w,16.52,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T2U,https://pcpartpicker.com/product/w3fp99/tp-link-wireless-network-card-archert2u,29.59,Wi-Fi 5,USB Type-A 2.0,
Gigabyte GC-WB867D-I REV 4.2,https://pcpartpicker.com/product/r7RFf7/gigabyte-gc-wb867d-i-rev-42-none-wi-fi-adapter-gc-wb867d-i-rev-42,,Wi-Fi 5,PCIe x1,
MSI AX1800 Nano,https://pcpartpicker.com/product/NNZWGX/msi-ax1800-nano-80211abgnacax-usb-type-a-wi-fi-adapter-ax1800nanowifiusb,29.99,Wi-Fi 6,USB Type-A 2.0,Black
fenvi FV-AXE3000,https://pcpartpicker.com/product/DJLFf7/fenvi-fv-axe3000-80211abgnacax-pcie-x1-wi-fi-adapter-fv-axe3000,,Wi-Fi 6,PCIe x1,Red / Black
D-Link DWA-582,https://pcpartpicker.com/product/3D38TW/d-link-wireless-network-card-dwa582,,Wi-Fi 5,PCIe x1,
fenvi FV-T919,https://pcpartpicker.com/product/BJ97YJ/fenvi-fv-t919-none-wi-fi-adapter-fv-t919,,Wi-Fi 5,PCIe x1,Black / Gold
fenvi FV-AX3000,https://pcpartpicker.com/product/w7xRsY/fenvi-fv-ax3000-80211abgnacax-pcie-x1-wi-fi-adapter-fv-ax3000,,Wi-Fi 6,PCIe x1,Red / Black
TP-Link Archer TXE70UH,https://pcpartpicker.com/product/LDTFf7/tp-link-archer-txe70uh-80211abgnacax-usb-type-a-wi-fi-adapter-archer-txe70uh,69.98,Wi-Fi 6E,USB Type-A 3.2 Gen 1,Black
TP-Link Archer T4U,https://pcpartpicker.com/product/qn3RsY/tp-link-wireless-network-card-archert4u,45.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,
Asus PCE-N10,https://pcpartpicker.com/product/9fQypg/asus-wireless-network-card-pcen10,,Wi-Fi 4,PCIe x1,
Intel 62205ANHMWDTX1,https://pcpartpicker.com/product/b4ckcf/intel-wireless-network-card-62205anhmwdtx1,29.95,Wi-Fi 4,PCIe x1,
BrosTrend AC1,https://pcpartpicker.com/product/dYyV3C/brostrend-ac1-none-wi-fi-adapter-ac1,19.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Asus PCE-AC51,https://pcpartpicker.com/product/k9ndnQ/asus-pce-ac51-none-wi-fi-adapter-pce-ac51,,Wi-Fi 5,PCIe x1,
Asus PCE-AC58BT,https://pcpartpicker.com/product/JhWfrH/asus-pce-ac58bt-none-wi-fi-adapter-pce-ac58bt,,Wi-Fi 5,PCIe x1,Blue
TP-Link Archer TX21UH,https://pcpartpicker.com/product/nbpQzy/tp-link-archer-tx21uh-80211abgnacax-usb-type-a-wi-fi-adapter-archer-tx21uh,43.97,Wi-Fi 6,USB Type-A 3.2 Gen 1,Silver / Black
EDUP EP-9651GS,https://pcpartpicker.com/product/mMJgXL/edup-ep-9651gs-80211abgnacax-pcie-x1-wi-fi-adapter-ep-9651gs,,Wi-Fi 6E,PCIe x1,Black
TP-Link Archer T1U,https://pcpartpicker.com/product/8t8H99/tp-link-archer-t1u-none-wi-fi-adapter-archer-t1u,,Wi-Fi 5,USB Type-A 2.0,
TP-Link Archer T8E,https://pcpartpicker.com/product/JdCrxr/tp-link-wireless-network-card-archert8e,79.98,Wi-Fi 5,PCIe x1,
D-Link DWA-140,https://pcpartpicker.com/product/gnPfrH/d-link-wireless-network-card-dwa140,40.99,Wi-Fi 4,USB Type-A 2.0,
TP-Link Archer T2UH,https://pcpartpicker.com/product/YWX2FT/tp-link-archer-t2uh-none-wi-fi-adapter-archer-t2uh,,Wi-Fi 5,USB Type-A 2.0,
Wavlink WL-WN675X2,https://pcpartpicker.com/product/j9kH99/wavlink-wl-wn675x2-80211abgnacax-pcie-x1-wi-fi-adapter-wl-wn675x2,,Wi-Fi 6,PCIe x1,Red
TP-Link TL-WN722N,https://pcpartpicker.com/product/psdqqs/tp-link-wireless-network-card-tlwn722n,,Wi-Fi 4,USB Type-A 2.0,
TP-Link TL-WN951N,https://pcpartpicker.com/product/qnPfrH/tp-link-wireless-network-card-tlwn951n,,Wi-Fi 4,PCI,
Rosewill RNX-AC1900PCE,https://pcpartpicker.com/product/ML2rxr/rosewill-rnx-ac1900pce-none-wi-fi-adapter-rnx-ac1900pce,45.75,Wi-Fi 5,PCIe x1,
BrosTrend AC3,https://pcpartpicker.com/product/yTdxFT/brostrend-ac3-none-wi-fi-adapter-ac3,34.99,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
TP-Link Archer T3U Nano,https://pcpartpicker.com/product/jszhP6/tp-link-archer-t3u-nano-80211abgnac-usb-type-a-wi-fi-adapter-archer-t3u-nano,16.98,Wi-Fi 5,USB Type-A 2.0,Black
TP-Link Archer T4U V2,https://pcpartpicker.com/product/73PKHx/tp-link-archer-t4u-v2-usb-30-wi-fi-adapter-archer-t4u_v2,19.98,Wi-Fi 5,USB Type-A 3.2 Gen 1,Black
Asus USB-AX55 Nano,https://pcpartpicker.com/product/TcddnQ/asus-usb-ax55-nano-80211abgnacax-usb-type-a-wi-fi-adapter-usb-ax55-nano,49.99,Wi-Fi 6,USB Type-A 2.0,Black
Asus PCE-AXE59BT,https://pcpartpicker.com/product/fhkH99/asus-pce-axe59bt-80211abgnacax-pcie-x1-wi-fi-adapter-pce-axe59bt,82.99,Wi-Fi 6E,PCIe x1,Black
Rosewill RNX-G300LX,https://pcpartpicker.com/product/LzQypg/rosewill-wireless-network-card-rnxg300lx,,Wi-Fi 3,PCI,
Intel 8265.NGWMG.S,https://pcpartpicker.com/product/CWkj4D/intel-8265ngwmgs-80211abgnac-m2-wi-fi-adapter-8265ngwmgs,,Wi-Fi 5,M.2,Green
MSI AC905C-V2,https://pcpartpicker.com/product/4kNxFT/msi-ac905c-v2-80211abgnac-pcie-x1-wi-fi-adapter-ac905c-v2,,Wi-Fi 5,PCIe x1,Black
D-Link DWA-552,https://pcpartpicker.com/product/NzJwrH/d-link-wireless-network-card-dwa552,48.06,Wi-Fi 4,PCI,
Cisco AIR-PI21AG-A-K9,https://pcpartpicker.com/product/2gGkcf/cisco-wireless-network-card-airpi21agak9,,Wi-Fi 3,PCI,
