name,part_url,price,amount
ARCTIC MX-6,https://pcpartpicker.com/product/k2pzK8/arctic-mx-6-4-g-thermal-paste-actcp00080a,10.99,4
Prolimatech PK-Zero,https://pcpartpicker.com/product/9skwrH/prolimatech-thermal-paste-propkzero600g,206.9,600
Arctic Silver 5 High-Density Polysynthetic Silver,https://pcpartpicker.com/product/6RrG3C/arctic-silver-thermal-paste-as535g,11.25,3.5
Thermal Grizzly Kryonaut,https://pcpartpicker.com/product/XHqbt6/thermal-grizzly-kryonaut-1-g-thermal-paste-tg-k-001-rs,8.99,1
Thermal Grizzly Kryonaut Extreme,https://pcpartpicker.com/product/J7Tp99/thermal-grizzly-kryonaut-extreme-2-g-thermal-paste-tg-ke-002-r,21.99,2
ARCTIC MX-4 (2019),https://pcpartpicker.com/product/JmYLrH/arctic-mx-4-2019-4-g-thermal-paste-actcp00002b,6.49,4
Corsair TM30,https://pcpartpicker.com/product/dfzkcf/corsair-tm30-thermal-paste-ct-9010001-ww,7.73,3
Noctua NT-H2,https://pcpartpicker.com/product/XYndnQ/noctua-nt-h2-35-g-thermal-paste-nt-h2-35g,14.95,3.5
Thermal Grizzly Duronaut,https://pcpartpicker.com/product/q7RnTW/thermal-grizzly-duronaut-2-g-thermal-paste-tg-d-002-r,9.99,2
Thermal Grizzly Duronaut,https://pcpartpicker.com/product/KGPv6h/thermal-grizzly-duronaut-6-g-thermal-paste-tg-d-006-r,19.98,6
Corsair XTM70,https://pcpartpicker.com/product/rhWzK8/corsair-xtm70-3-g-thermal-paste-ct-9010010-ww,26.09,3
Thermal Grizzly Kryonaut Extreme,https://pcpartpicker.com/product/NLRwrH/thermal-grizzly-kryonaut-extreme-3384-g-thermal-paste-tg-ke-090-r-2,109.99,33.84
Noctua NT-H1,https://pcpartpicker.com/product/sX4gXL/noctua-thermal-paste-nth1,9.94,3.5
Thermal Grizzly Polartherm X-8,https://pcpartpicker.com/product/qymNnQ/thermal-grizzly-polartherm-x-8-2-g-thermal-paste-pt-x8-002,5.49,2
ARCTIC MX-6,https://pcpartpicker.com/product/r46p99/arctic-mx-6-8-g-thermal-paste-actcp00081a,10.28,8
ARCTIC MX-6,https://pcpartpicker.com/product/x8LFf7/arctic-mx-6-2-g-thermal-paste-actcp00079a,10.49,2
Noctua NT-H2,https://pcpartpicker.com/product/hmYLrH/noctua-nt-h2-10-g-thermal-paste-nt-h2-10g,38.97,10
Thermal Grizzly Conductonaut Extreme,https://pcpartpicker.com/product/fXGhP6/thermal-grizzly-conductonaut-extreme-5-g-thermal-paste-s-tg-ce-005-r,49.99,5
Thermalright TF7,https://pcpartpicker.com/product/96BzK8/thermalright-tf7-2-g-thermal-paste-tf7-2g,,2
Thermal Grizzly Kryonaut,https://pcpartpicker.com/product/CRkwrH/thermal-grizzly-thermal-paste-tgk015r,21.99,5.5
Corsair XTM50,https://pcpartpicker.com/product/QP3mP6/corsair-xtm50-5-g-thermal-paste-ct-9010002-ww,16.69,5
ARCTIC MX-4 w/ Spatula,https://pcpartpicker.com/product/gCpQzy/arctic-mx-4-w-spatula-4-g-thermal-paste-actcp00031b,,4
Thermal Grizzly Conductonaut Extreme,https://pcpartpicker.com/product/4HDQzy/thermal-grizzly-conductonaut-extreme-1-g-thermal-paste-s-tg-ce-001-r,23.98,1
Asus ROG RG-07,https://pcpartpicker.com/product/md4Zxr/asus-rog-rg-07-3-g-thermal-paste-rog-rg-07,8.99,3
Arctic Silver Ceramique 2 Tri-Linear,https://pcpartpicker.com/product/NqCwrH/arctic-silver-thermal-paste-cmq227g,7.75,2.7
ARCTIC MX-4,https://pcpartpicker.com/product/HBXfrH/arctic-mx-4-4-g-thermal-paste-ac-mx4,,4
Arctic Silver 5 High-Density Polysynthetic Silver,https://pcpartpicker.com/product/zN8Zxr/arctic-silver-thermal-paste-as512g,38.99,12
Thermal Hero QUANTUM,https://pcpartpicker.com/product/HNsMnQ/thermal-hero-quantum-50-g-thermal-paste-th-501750-us,102.81,50
ID-COOLING Frost X45,https://pcpartpicker.com/product/HL9nTW/id-cooling-frost-x45-2-g-thermal-paste-frost-x45-2g,6.99,2
Thermal Grizzly Kryonaut,https://pcpartpicker.com/product/NPkWGX/thermal-grizzly-kryonaut-111-g-thermal-paste-tg-k-030-r,33.99,11.1
Asus ROG RG-07 KIT,https://pcpartpicker.com/product/VqKscf/asus-rog-rg-07-kit-3-g-thermal-paste-rog-rg-07-kit,20.99,3
ARCTIC MX-4 w/ Spatula,https://pcpartpicker.com/product/qwtLrH/arctic-mx-4-w-spatula-8-g-thermal-paste-actcp00059a,7.49,8
Thermal Grizzly Aeronaut,https://pcpartpicker.com/product/w4nG3C/thermal-grizzly-thermal-paste-tga015r,10.7,3.9
KINGPINcooling KPx,https://pcpartpicker.com/product/g4YRsY/kingpincooling-kpx-1-g-thermal-paste-kpx-1g-002,9.02,1
Thermal Grizzly Hydronaut,https://pcpartpicker.com/product/DRkwrH/thermal-grizzly-thermal-paste-tgh015r,11.9,3.9
ARCTIC MX-4 (2019),https://pcpartpicker.com/product/Jy4Ycf/arctic-mx-4-2019-45-g-thermal-paste-actcp00024a,19.98,45
KINGPINcooling KPx,https://pcpartpicker.com/product/qQcgXL/kingpincooling-kpx-30-g-thermal-paste-kpx-30g-002,72,30
Cooler Master CryoFuze Violet,https://pcpartpicker.com/product/kyJgXL/cooler-master-cryofuze-violet-2-g-thermal-paste-mgy-nosg-n07m-r1,,2
Thermalright TF9,https://pcpartpicker.com/product/djvD4D/thermalright-tf9-15-g-thermal-paste-tf9-15g,7.88,1.5
ARCTIC MX-2,https://pcpartpicker.com/product/3wLypg/arctic-mx-2-4-g-thermal-paste-mx-2r,,4
Thermal Grizzly Conductonaut,https://pcpartpicker.com/product/9PkwrH/thermal-grizzly-conductonaut-1g-thermal-paste-tg-c-001-r,12.99,1
Thermalright TF9,https://pcpartpicker.com/product/Py88TW/thermalright-tf9-29-g-thermal-paste-tf9-29g,6.09,2.9
Thermal Grizzly Polartherm X-8,https://pcpartpicker.com/product/KgdG3C/thermal-grizzly-polartherm-x-8-5-g-thermal-paste-pt-x8-005,4.99,5
Thermal Hero METALLIQ,https://pcpartpicker.com/product/gLpD4D/thermal-hero-metalliq-5-g-thermal-paste-th-108005-us,55.18,5
Prolimatech PK-3 Nano Aluminum High-Grade,https://pcpartpicker.com/product/Q6Gkcf/prolimatech-thermal-paste-propk330g,,30
be quiet! DC2,https://pcpartpicker.com/product/vfzXsY/be-quiet-dc2-3-g-thermal-paste-bz004,6.9,3
ID-COOLING Frost X45,https://pcpartpicker.com/product/pJy8TW/id-cooling-frost-x45-4-g-thermal-paste-frost-x45-4g,7.99,4
Cooler Master HTK-002,https://pcpartpicker.com/product/hgvRsY/cooler-master-thermal-paste-htk002u1,,0.01
Gelid Solutions GC-Extreme,https://pcpartpicker.com/product/tgvRsY/gelid-solutions-thermal-paste-gcextreme,8.99,3.5
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/3X9wrH/thermal-grizzly-polartherm-x-10-2-g-thermal-paste-pt-x10-002,5.49,2
ARCTIC MX-5,https://pcpartpicker.com/product/6skWGX/arctic-mx-5-4-g-thermal-paste-actcp00053a,,4
KINGPINcooling KPx,https://pcpartpicker.com/product/tRYRsY/kingpincooling-kpx-10-g-thermal-paste-kpx-10g-002,30.14,10
ARCTIC MX-4,https://pcpartpicker.com/product/gBbCmG/arctic-mx-4-20-g-thermal-paste-actcp00001b,13.99,20
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/R8RwrH/thermal-grizzly-polartherm-x-10-5-g-thermal-paste-pt-x10-005,10.99,5
Zalman STC9,https://pcpartpicker.com/product/JfzXsY/zalman-stc9-4-g-thermal-paste-zm-stc9,,4
Thermal Hero ULTRA with paste gun,https://pcpartpicker.com/product/yfVfrH/thermal-hero-ultra-with-paste-gun-50-g-thermal-paste-th-301350g-us,86.01,50
ARCTIC MX-4 (2019),https://pcpartpicker.com/product/YbfFf7/arctic-mx-4-2019-8-g-thermal-paste-actcp00008b,7.99,8
Thermal Grizzly Polartherm X-8,https://pcpartpicker.com/product/Q9qrxr/thermal-grizzly-polartherm-x-8-10-g-thermal-paste-pt-x8-010,7.99,10
Cooler Master IC ESSENTIAL E2,https://pcpartpicker.com/product/TLFbt6/cooler-master-ic-essential-e2-35-g-thermal-paste-rg-ice2-ta15-r1,,3.5
Cooler Master CryoFuze,https://pcpartpicker.com/product/Kkstt6/cooler-master-cryofuze-2-g-thermal-paste-mgz-ndsg-n07m-r2,7.99,2
be quiet! C2 Pro,https://pcpartpicker.com/product/Xb9wrH/be-quiet-c2-pro-1-g-thermal-paste-bz005,14.9,1
Prolimatech PK-Zero,https://pcpartpicker.com/product/RL2rxr/prolimatech-thermal-paste-propkzero300g,137.52,300
Prolimatech PK-3 Nano Aluminum High-Grade,https://pcpartpicker.com/product/h3Lypg/prolimatech-thermal-paste-propk315g,8.99,1.5
StarTech Metal Oxide,https://pcpartpicker.com/product/nL8Zxr/startech-thermal-paste-silvgrease1,9.99,1.5
Thermal Grizzly Polartherm X-8,https://pcpartpicker.com/product/Fh6NnQ/thermal-grizzly-polartherm-x-8-40-g-thermal-paste-pt-x8-040,19.98,40
Thermalright TF4,https://pcpartpicker.com/product/G3WJ7P/thermalright-tf4-15-g-thermal-paste-tf4-15g,,1.5
Thermal Hero QUANTUM,https://pcpartpicker.com/product/vVfV3C/thermal-hero-quantum-4-g-thermal-paste-th-501704-us,28.99,4
ARCTIC MX-4 (2019),https://pcpartpicker.com/product/khQcCJ/arctic-mx-4-2019-2-g-thermal-paste-actcp00007b,,2
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/7BfxFT/thermal-grizzly-polartherm-x-10-40-g-thermal-paste-pt-x10-040,28.99,40
Xilence ZUB-XPTP,https://pcpartpicker.com/product/cX6NnQ/xilence-zub-xptp-15-g-thermal-paste-xz018,11.15,1.5
Thermaltake TG-30,https://pcpartpicker.com/product/ZjmFf7/thermaltake-tg-30-4-g-thermal-paste-cl-o023-grosgm-a,8.99,4
StarTech HeatGrease,https://pcpartpicker.com/product/LPw323/startech-thermal-paste-heatgrease20,5.78,20
Sunbeam Iceberg TS-IB,https://pcpartpicker.com/product/W2h9TW/sunbeam-thermal-paste-tsib,,1
Deepcool Z5,https://pcpartpicker.com/product/tBQypg/deepcool-thermal-paste-z5,,3
Thermaltake CL-O002-GROSGM-A,https://pcpartpicker.com/product/J8W9TW/thermaltake-thermal-paste-clo002grosgma,16.99,40
Thermaltake CL-O004-GROSGM-A,https://pcpartpicker.com/product/8KX2FT/thermaltake-cl-o004-grosgm-a-4g-thermal-paste-cl-o004-grosgm-a,8.64,4
Thermal Hero NEO with paste gun,https://pcpartpicker.com/product/wVfV3C/thermal-hero-neo-with-paste-gun-50-g-thermal-paste-th-201250g-us,50.69,50
ARCTIC MX-4,https://pcpartpicker.com/product/tp7wrH/arctic-mx-4-20-g-thermal-paste-actc-mx4-20g,,20
Thermalright TFX,https://pcpartpicker.com/product/hbpmP6/thermalright-tfx-2-g-thermal-paste-tfx-2g,,2
Prolimatech PK-3 Nano Aluminum High-Grade,https://pcpartpicker.com/product/Fsdqqs/prolimatech-thermal-paste-propk35g,14.99,5
Thermal Grizzly Polartherm X-10,https://pcpartpicker.com/product/9LV2FT/thermal-grizzly-polartherm-x-10-10-g-thermal-paste-pt-x10-010,11.99,10
Prolimatech PK-1,https://pcpartpicker.com/product/hN8Zxr/prolimatech-thermal-paste-propk130g,51.5,30
Cooler Master MasterGel Maker,https://pcpartpicker.com/product/tQ6qqs/cooler-master-mastergel-maker-15-g-thermal-paste-mgz-ndsg-n15m-r2,,1.5
NZXT High-performance,https://pcpartpicker.com/product/zqZ9TW/nzxt-high-performance-15-g-thermal-paste-ba-tp015-01,,15
Deepcool DP-TIM-Z10-1,https://pcpartpicker.com/product/mqkH99/deepcool-dp-tim-z10-1-5-g-thermal-paste-dp-tim-z10-1,,5
Thermal Hero ULTRA,https://pcpartpicker.com/product/d62j4D/thermal-hero-ultra-50-g-thermal-paste-th-301350-us,74.49,50
EVGA Frostbite 2,https://pcpartpicker.com/product/CNTzK8/evga-frostbite-2-25-g-thermal-paste-400-tg-tm01-br,11.17,2.5
Thermal Hero QUANTUM,https://pcpartpicker.com/product/XHpD4D/thermal-hero-quantum-10-g-thermal-paste-th-501710-us,37.58,10
Cooler Master IceFusion,https://pcpartpicker.com/product/vWg323/cooler-master-thermal-paste-rgicfn200gb1,,200
ARCTIC MX-2,https://pcpartpicker.com/product/FZV48d/arctic-mx-2-65-g-thermal-paste-actc-mx2-65g,,65
Coollaboratory Liquid Pro,https://pcpartpicker.com/product/yR2kcf/coollaboratory-thermal-paste-liquidpro,,0.15
Akasa AK-TCW-03,https://pcpartpicker.com/product/nc6qqs/akasa-ak-tcw-03-5-g-thermal-paste-ak-tcw-03,19.51,5
be quiet! DC1,https://pcpartpicker.com/product/Jx92FT/be-quiet-dc1-3-g-thermal-paste-bz001,52,3
Thermal Hero ULTRA,https://pcpartpicker.com/product/ccBFf7/thermal-hero-ultra-4-g-thermal-paste-th-301304-us,12.22,4
Thermal Hero QUANTUM,https://pcpartpicker.com/product/JVfV3C/thermal-hero-quantum-2-g-thermal-paste-th-501702-us,7.82,2
Thermal Hero ULTRA,https://pcpartpicker.com/product/sJBFf7/thermal-hero-ultra-10-g-thermal-paste-th-301310-us,23.29,10
Zalman STC7,https://pcpartpicker.com/product/dDgrxr/zalman-stc7-4-g-thermal-paste-zm-stc7,,4
Thermal Hero METALLIQ,https://pcpartpicker.com/product/tJBFf7/thermal-hero-metalliq-2-g-thermal-paste-th-108002-us,26.68,2
Arctic Silver Ceramique 2 Tri-Linear,https://pcpartpicker.com/product/BZV48d/arctic-silver-thermal-paste-cmq225g,18.25,25
Prolimatech PK-1,https://pcpartpicker.com/product/7RrG3C/prolimatech-thermal-paste-propk15g,20.82,5
